PK,Description,opportunism,laschetMean,merkelPoints,bavariaPoints
4014,"Taxes for private households should stay where they are or even be lowered by phasing out the <span class='mytooltip'>Soli<span class='mytooltiptext'>Solidaritätszuschlag. An extra tax levelled since 1995 to help East Germany in its post-reunification development.</span></span>. More importantly, corporate taxes should be lowered to unleash the full economic potential of this country. As little State as necessary, as much market as possible.",,,,
4015,"The most important thing we can do now is lower the taxes for small and medium-income earners, our tax policy is failing them. Besides that, I’ll mainly attack the tax plans of the other parties.",2,,,
4016,"I’m as shocked and outraged as everyone else when this came to light. There will be new rules for members of my party that they have to make all earnings public, to prevent something like this from happening again.",,,,
4017,"Let’s wait and see how this develops. I’ll issue a brief statement that we want to wait until it’s clear what actually happened. Luckily, it seems like the CDU is in more trouble than the CSU, so maybe I can use this to paint me as a more competent party leader.",2,,,1
4018,This is nothing but a political hit job by a left-wing magazine in an election year. I’m sure further investigations will prove the innocence of these MPs.,1,,,
4019,"We have to deflect from this as much as possible. I will make it clear that I have zero tolerance for corruption, but I will refrain from any incendiary statements. I don’t want to get associated with this personally.",,,,
4020,"I have to be careful here, I don’t want to come across as too power-hungry. First, I will call Laschet and tell him that I think a challenge would be best for the party, and then tentatively acknowledge my ambitions to the media.",-2,-1,,
4021,"It’s an open secret my true goal is the chancellor candidacy. Let’s not beat around the bush -  let’s make an announcement as soon as possible to catch Laschet by surprise. If he has to catch up, we can paint him in an even worse light.",1,1,,
4022,"Doing this the wrong way could backfire - my appeal lies in my popularity, so let’s work through that. I’ll have my supporters in the CDU and CSU demand that I save the party from Laschet's bad polling numbers, and then - “reluctantly” - declare my candidacy.",2,,,1
4023,"Now, it’s time for payoff. I’m sure Laschet will try to force a vote by the party elites - I’m going to welcome this, he’ll be surprised by how much support I have even among them. If even the upper CDU echelons stand with me against him, there will be nothing in my way.",-1,,,
4024,"During the next few days, I will hammer my main argument again and again - I have the better polling numbers, and I’m the one who can lead the CDU/CSU to victory in the fall. I   will showcase several district candidates who are already distancing themselves from Laschet. He would lose, him and the rest of the party have to accept this.",1,1,,
4025,"The party parliamentary group of CDU and CSU shall vote on this. They want to get reelected - with my strong numbers, I’m confident they’ll see me as the better option and pick me over Laschet.",,,,
4026,"The party parliamentary group of CDU and CSU shall vote on this. They want to get reelected - with my strong numbers, I’m confident they’ll see me as the better option and pick me over Laschet.",,,,
4027,"First and foremost, I want to thank Armin Laschet for this fair competition. I want to plead for a united Union, to continue our successful governance of Germany. Apart from that, I will hit my usual talking points.",-1,,,
4028,"If you want to look at how I want to govern this country, look at Bavaria. We are one of the most successful states by a big number of metrics and my popularity there speaks for itself. As an accomplished leader of the Free State, Germany will shine just as bright.",,,,2
4029,"It’s clear that the two most important topics this election are Covid and climate change. I will guide Germany through the pandemic like I guided Bavaria, and I will make sure our transition to renewable energies goes along smoothly. I will continue to lead Germany into the modern age and pull us through the challenges we’re facing.",,,,1
4030,"Merkel has been a respected leader for these last 16 years, and I will do my best to follow in her path and continue her successful stewardship of our beloved country.",1,,2,
4031,"The Green party is always surging a few months before elections and comes crashing down in time, just like in 2011 after <span class='mytooltip'>Fukushima<span class='mytooltiptext'>In 2011, a disaster took place at the nuclear reactor in Fukushima, Japan. Resulted in the first Green surge, and Merkel changing course on Nuclear Energy; resuming the phase-out that started under the preceding Red-Green coalition.</span></span>. I’m not too worried - we should still focus more on competing with the SPD, our traditional opponent.",2,,,
4032,"I will take this development very seriously, clearly the demand is there to act on climate change. Let’s unveil some of our own sensible and realistic environmental policies, piece by piece, to catch media attention away from them and stop their momentum.",1,,,
4033,"Off the record, it’s not the worst thing that these two parties compete for center-left votes. This makes the path to first place a lot easier. Let’s focus somewhat on the Greens as our main contender in that regard, and just attack them moderately where we can.",,,,
4034,"Actually, this is a bit ridiculous and reminds me of the publicity stunt the FDP pulled in 2002 when they nominated <span class='mytooltip'>Guido Westerwelle<span class='mytooltiptext'>FDP party chair (2001-2011) and later Foreign Minister (2009-2013). Was named as  “chancellor candidate” by the FDP in 2002, in a bid to win 18%, but only got 7.4. One of the first German politicians to come out as gay, he sadly died in 2016 from leukemia.</span></span> as chancellor candidate. Let’s mock them for their hubris and don’t refer to Habeck as a legitimate chancellor candidate.",-1,,,
4035,"It is important that we don’t demonize Putin and keep our dialogue open. I’m critical of many things the Russian leadership has done, but overall, we should strive to cooperate with them, as we do on the <span class='mytooltip'>Nord-Stream 2<span class='mytooltiptext'>Planned natural gas pipeline from Russia to Germany, through the Baltic Sea.</span></span> pipeline.",,,,
4036,"I’ve been more lenient in the past, but enough is enough. I will join in with the criticism against <span class='mytooltip'>Kretschmer<span class='mytooltiptext'>Michael Kretschmer, Minister-President of Saxony (Since 2017). Traveled to Moscow, and at several points demanded the sanctions against Russia be lifted. Was also somewhat of a soft Covid-skeptic in 2020, but changed course later on.</span></span> and call for a tougher stance towards Putin. Maybe we should only open the <span class='mytooltip'>Nord-Stream 2<span class='mytooltiptext'>Planned natural gas pipeline from Russia to Germany, through the Baltic Sea.</span></span> pipeline if we get some concessions from Russia.",2,,,
4037,"<span class='mytooltip'>Kretschmer<span class='mytooltiptext'>Michael Kretschmer, Minister-President of Saxony (Since 2017). Traveled to Moscow, and at several points demanded the sanctions against Russia be lifted. Was also somewhat of a soft Covid-skeptic in 2020, but changed course later on.</span></span> is completely right, we have to talk more with Russia, not less. I’m all in favor of more dialogue and stronger economic ties with Russia. Putin is reasonable and can be talked to, as I did last year!",-1,,,
4038,"This whole thing is overblown, this trip was mostly for cultural exchange. I don’t have much to say about this. We stand on our commitment to Nato.",1,,,
4501,"In hindsight, Merkel’s decision seems right to me, we needed to take those people in to prevent a humanitarian catastrophe at the Austrian-Hungarian border. Today though, we need to be more mindful of European border security. To that end, we want to strengthen the <span class='mytooltip'>EU<span class='mytooltiptext'>European Union; supranational political entity, serving as a political and economic union between 27 European countries, including free trade, open borders, political cooperation and a common legislative body. Germany is a prominent member, being one of its predecessors founding members, going back to the post-war era.</span></span> border enforcement agency <span class='mytooltip'>Frontex<span class='mytooltiptext'>The European Agency for Border- and coastal protection of the Schengen Area (internally, the EU does not have border patrols).</span></span>.",1,,1,
4502,"There’s no way around it - Germany is an immigration country. We need a comprehensive overhaul of our immigration laws - we don’t have a good system in place to attract qualified immigrants, who could be advantageous to our economy and demographic situation.",1,,,
4503,"Merkel was absolutely right to take in these people. We’re saying: Refugees Welcome! As a western country partially responsible for colonialism, we have a responsibility for humanitarian aid, including initiatives to rescue capsized refugee boats in the mediterranean.",3,,1,
4504,"On this issue, Merkel has erred - her rhetoric was dangerous in provoking even more refugees and immigrants to come here. We simply can’t take everyone. We need more border security in the <span class='mytooltip'>EU<span class='mytooltiptext'>European Union; supranational political entity, serving as a political and economic union between 27 European countries, including free trade, open borders, political cooperation and a common legislative body. Germany is a prominent member, being one of its predecessors founding members, going back to the post-war era.</span></span> and faster deportation processes to avoid another disaster - <span class='mytooltip'>2015<span class='mytooltiptext'>In 2015, about 2 million people sought refuge in Europe, coming from the Mediterranean Sea and the Balkans. A great amount had been held up in Hungary, until Merkel unilaterally decided to let them come to Germany. About 400k Syrians fled to Germany during this time.</span></span> can’t repeat itself.",-2,,,
4039,"This was a bad decision by the court. The <span class='mytooltip'>Climate Protection Act<span class='mytooltiptext'>“Klimaschutzgesetz” in German. Originally enacted by the Grand Coalition in 2019, it promises to uphold the goals by the Paris Conference and lays down concrete goals for CO²-emissions until 2030.</span></span> already went far enough and I’m not in favor of hurting the economy with a stricter climate policy. We need to look out for our personal and economic freedoms, fear is not the answer.",3,,,
4040,"I’ve always been an advocate for doing more against climate change. While this has not been mandated by the court, we will also rework our regional <span class='mytooltip'>Climate Protection Act<span class='mytooltiptext'>“Klimaschutzgesetz” in German. Originally enacted by the Grand Coalition in 2019, it promises to uphold the goals by the Paris Conference and lays down concrete goals for CO²-emissions until 2030.</span></span> in Bavaria, to make sure we are doing enough.",-1,,,
4041,"We have to become carbon neutral long before 2050. I’m sure the government under Merkel will come up with a sensible solution, which I will continue as chancellor.",,,,
4042,"With the decision by the court, we now have the great opportunity to have an ambitious new <span class='mytooltip'>Climate Protection Act<span class='mytooltiptext'>“Klimaschutzgesetz” in German. Originally enacted by the Grand Coalition in 2019, it promises to uphold the goals by the Paris Conference and lays down concrete goals for CO²-emissions until 2030.</span></span>. Bavaria is on its way to becoming carbon-neutral by 2040, and the whole country should be put on a similar path.",1,,,
4505,"Yes, I do. Accepting the scientific consensus on climate change and advocating for modern policies is what makes Bavaria so successful - to modernize the whole Union, we have to recalibrate our attitude towards climate action and protecting our social safety net. The CDU/CSU are innovative parties of the 21st century, and I will not let myself get intimidated by right-wing demagogues.",-1,,1,1
4506,"I do not think in ideological categories, I’m simply standing for what I think is good for Germany. The CDU is the party of good governance - not radicalism, both leftist or rightist.",-1,,2,
4507,"I wanted to begin this campaign by bringing us all together - now we can try to tilt the discourse rightwards, taking Merkel supporters with us while framing our conservative positions as more reasonable.",3,,,
4043,"We need to open up quickly for vaccinated people. A return to normalcy has never been so close, and we all had more than enough of lockdowns - not every measure might still be proportionate. Vaccinated people have less risk and thus should receive more benefits.",1,,,
4044,"In Bavaria, we are deciding to be on the safe side, consciously. Of course, freedom will only be possible through vaccinations - but I’m particularly worried about these mutations. Opening up too quickly here can be a dangerous combination. Instead, we need to broadly spend more money to buy more from several vaccine producers.",-2,,,1
4045,"It’s important that as many people as possible get vaccinated as quickly as possible so we can overcome this crisis. We have to think of measures to get more people vaccinated, like organizing mobile vaccination teams in supermarkets and ending the priority system.",,,,
4046,"The vaccine seems helpful now, but we haven’t had a chance to study its side effects yet. We should be mindful of our bodily health and not be too quick in our judgment - I advocate for a slowdown of the vaccination campaign until we have more information.",,,,
4047,"For years and years, we have consistently missed the <span class='mytooltip'>NATO<span class='mytooltiptext'>North Atlantic Treaty Organization; international defensive military alliance between the United States, Canada and multiple European countries, including Germany since 1955. Was the winning party of the Cold War between 1949-1993.</span></span> aim to spend 2% of our gross domestic product on defense. I strongly reaffirm our commitment to <span class='mytooltip'>NATO<span class='mytooltiptext'>North Atlantic Treaty Organization; international defensive military alliance between the United States, Canada and multiple European countries, including Germany since 1955. Was the winning party of the Cold War between 1949-1993.</span></span> and this goal! The West has to be united against potential threats.",,,,
4048,"While I strongly reaffirm our support of a united Alliance and strong defense, I specifically want to call out Robert Habeck. He did not issue a strong endorsement of <span class='mytooltip'>NATO<span class='mytooltiptext'>North Atlantic Treaty Organization; international defensive military alliance between the United States, Canada and multiple European countries, including Germany since 1955. Was the winning party of the Cold War between 1949-1993.</span></span> yet, which is not appropriate for a chancellor.",2,,,
4049,"I want to praise the work we’ve done so far and believe we are in a good spot. While I strongly reaffirm my commitment to <span class='mytooltip'>NATO<span class='mytooltiptext'>North Atlantic Treaty Organization; international defensive military alliance between the United States, Canada and multiple European countries, including Germany since 1955. Was the winning party of the Cold War between 1949-1993.</span></span>, we don’t need to spend more on defense than we do right now; we need to combat waste first and foremost.",-1,,,
4050,"<span class='mytooltip'>NATO<span class='mytooltiptext'>North Atlantic Treaty Organization; international defensive military alliance between the United States, Canada and multiple European countries, including Germany since 1955. Was the winning party of the Cold War between 1949-1993.</span></span> is a relic of the cold war. We should stay a member for now, but we should also try to find avenues for cooperating with other nations, keep reaffirming our neutrality, and open up new dialogues with Russia or China, as I did with my visit to Moscow last year.",2,,,
4508,"The heart of this problem lies in Germany's low birth rates. We need to further encourage the founding of families, with benefits for married and childbearing couples. Family-friendly policies will strengthen our social cohesion and collective values and invest in our future.",,,,
4509,"A sustainable answer to keep our social support net afloat lies in immigration. We are an attractive place in Europe for many seeking a safe and economically secure future, and we should finally implement a real immigration law, for example with a <span class='mytooltip'>Canada-style point-system<span class='mytooltiptext'>In Canada, points are awarded for potential “economic immigrants”, for qualifications, education and experiences, formally indiscriminate of the origin country. Said to be quite successful in attracting qualified workers.</span></span>.",,,,
4510,"It's clear that the current system is unsafe. We should build on our public pension system, reform the <span class='mytooltip'>Riester-system<span class='mytooltiptext'>State-encouraged private pension system named after former Minister of Labour, Walter Riester (SPD, 1998-2002), aimed at low-income workers who may get tax refunds on privately saved up money.</span></span>, and refrain from raising the pension age any further than 67! We also need to introduce a higher state-provided minimum pension to fight old-age poverty.",1,,,
4511,"We need to overhaul the bureaucratic costs of the system and listen to the decisions of the advisory councils. The mix of public, occupational and private pension systems contributes to safe pension levels, particularly occupational and private provisions should be strengthened. We can also look at Swedish-style stock-based pension funds.",,,,
4051,"I want to congratulate <span class='mytooltip'>Haseloff<span class='mytooltiptext'>Reiner Haseloff, Minister-President of Sachsen-Anhalt (CDU, since 2011). Grew up in East Germany, and joined the CDU- block party in the DDR early on. Generally uncontroversial and respected.</span></span> for his strong performance. It shows that the citizens still trust the Union to be the best governing party, and we want to emulate his strategy on a national scale.",,,,
4052,"<span class='mytooltip'>Haseloff<span class='mytooltiptext'>Reiner Haseloff, Minister-President of Sachsen-Anhalt (CDU, since 2011). Grew up in East Germany, and joined the CDU- block party in the DDR early on. Generally uncontroversial and respected.</span></span> performed very well, but I want to emphasize that the AfD lost votes. When we keep appealing and listening to all people, without prejudice, we can win them back for the democratic parties.",-1,,,
4053,"This was a very strong performance. To show my gratitude, I will make an extra trip to Saxony-Anhalt and campaign with him for some nice pictures.",1,,,
4512,I want to attack the philosopher Habeck on his elitist demeanor. The Greens are led by academics and their policies ignore the concerns of ordinary people. They do not represent the average working-class German!,2,,,
4513,"I want to hit Habeck on remarks he made about me on Twitter - his rants about me are unprofessional, and harmful for our democratic process. Questioning the loyalty to our constitution should be directed at the political extremes, not towards the parties of the democratic center.",1,,,
4514,"While Habeck himself seems to be a clean guy, his co-party leader Annalena Baerbock not only fumbled in her CV and plagiarized in her book, she also reported her earning far too late. A party that is led by such careless personalities should not lead Germany!",3,,,
4515,"Let’s stay on message and campaign in a positive way. This campaign isn’t won with attacks, but by convincing people that I am the best choice for chancellor!",-2,,,
4054,"The pandemic has shown how ill-prepared our schools are. We need to continue improving digital infrastructure in education, through more training, technical assets and a national educational platform. That is what the CDU/CSU has worked on, and will continue doing.",-1,,,1
4055,"Actually, we don’t have much to gain by talking about this topic - many voters see us as responsible for the current situation. Let’s downplay it as much as we can and focus on issues where we are seen as more competent, like matters of security or debt.",1,,,
4056,"We definitely need to modernize the digital infrastructure of Germany, especially in the public sector. Administrative matters have to be more accessible to citizens, we need to digitize all internal processes and cut down on bureaucracy.",,,,
4057,"Digitalization is a key issue - we need a digital transformation offensive. I want to especially emphasize that we will accomplish a nationwide 5G mobile network by 2025 and provide 15 billion Euros for Gigabit-networks. To that end, we will also establish a Ministry of Digital Innovation and Transformation.",,,,
4516,"We need to alleviate the housing market by building more. We need to build more than 100.000 housing units, using tax benefits. We should also provide funding to revitalize our cities and villages, advertise rural spaces and reduce the real estate transfer tax - every family should be able to own a home.",,,,
4517,"We need to emphasize the creation of more social housing, built by modern standards available for those who need it most. For families, we can make buying empty buildings in the countryside easier for young people, as they do in <span class='mytooltip'>NRW<span class='mytooltiptext'>North Rhine-Westphalia</span></span>. Furthermore, we need to fight land speculation and close tax loopholes.",,,,
4518,"The situation is tense. It’s clear that action is needed in the form of rent controls. A sharper, unlimited federal rent control program should be introduced. In places where the situation is very problematic, we stand for a so-called ‘rent moratorium’, where rent would only be able to increase with the inflation rate.",2,,,
4519,"We are vehemently against programs like rent controls. Social housing projects have failed to improve the situation - instead we need to support low income renters through housing subsidies. Regulations have to be cut back, we need slimmer bureaucracies and faster approval processes so that the market can sort itself out.",,,,
4058,"The most important thing we can do right now is help the affected regions with their crisis management. They need help now, quickly and unbureaucratically. I’m promising swift support.",-1,,,
4059,"This has been an incredible wake-up call of nature. We have to evaluate what we can do to prepare for events like this in the future. For now, helping the victims has the highest priority.",,,,
4060,"First, we need to quickly and diligently help the affected regions with the cleanup operations. After that, we have to guarantee financial emergency aid for affected people, unequivocally.",2,,,
4061,"Extreme weather events are unfortunately going to become more common due to climate change. We have to do a lot more than we are doing now. This might be expensive, but the costs of doing nothing are much, much higher.",1,,,
4062,"Actually, I don’t want to be seen as performative. The cleanup operations can be left to professionals, I will keep coordinating the crisis efforts from the state chancellery so that everything goes smoothly - that’s the best I can do for the victims.",-3,,,
4063,"Of course, I want to get out there! I have to go in there with the rescue teams; I want to be seen as a man of action, with <span class='mytooltip'>rubber boots<span class='mytooltiptext'>In 2002, SPD chancellor Schröder allegedly won reelection due to media coverage of him strutting about in rubber boots during the flooding of the river Elbe.</span></span>, and shovels and all. Get me some cameras, and some impactful photos with the local fire departments.",4,,,
4064,"Of course, I want to get out there! But we’re running a national campaign, I want to visit other states as well and show off the competency of my CDU colleagues. Maybe some meetings with <span class='mytooltip'>Kretschmer<span class='mytooltiptext'>Michael Kretschmer, Minister-President of Saxony (Since 2017). Traveled to Moscow, and at several points demanded the sanctions against Russia be lifted. Was also somewhat of a soft Covid-skeptic in 2020, but changed course later on.</span></span> in Saxony, <span class='mytooltip'>Bouffier<span class='mytooltiptext'>Volker Bouffier, Minister-President of Hesse (2010-2022). Known for his sonorous voice and his leadership of one of the first Black-Green coalitions.</span></span> in Hessen, and especially with my former opponent Laschet in <span class='mytooltip'>NRW<span class='mytooltiptext'>North Rhine-Westphalia</span></span>, to mend fences and show that we’re a united front.",3,,,
4065,"Of course, I want to get out there! I have to be a good leader in these times, and part of that is being seen by people. I love my home, and I hate to see my fellow citizens be stripped of their homes. Let’s focus our visits on Bavaria though, to not be seen as too power-hungry. Maybe some interviews with local media, nothing big.",2,,,1
4066,The floods have shown that we need to be much more ambitious than before. One of the worst offenders is our energy production: we need to stop using coal for energy generation by 2030 and seek out new innovative technologies to keep energy affordable.,1,,,
4067,"Climate change is coming, whether we want it or not. The most important thing we can do is mitigate its worst effects to prevent catastrophes like this from doing too much damage - we need better crisis responses. Climate action is necessary, as long as it doesn't stifle our economy and freedom of living",-1,,,
4068,"Why get head over heels with a statement? Let’s wait until Habeck says something, then respond to him in co-opting the more popular parts of his program, while criticizing bans and other incursions into people’s personal lives. We know what polls well and what doesn’t, let’s use that to our advantage!",2,,,
4069,"We are in an energy crisis - we need renewable energies, clearly. However, if you want to take climate change seriously, you have to agree: we are reliant on nuclear power. Exiting now would be foolish. We’re risking blackouts and the loss of jobs.",,,,
4070,"We need a long term strategy for Covid, but a universal vaccine mandate might not be doable constitutionally. Maybe a sort of staggered plan for group-based vaccine mandates could lead us to our goal. Certain institutions that have entered a duty to serve this country.",,,,
4071,"While I wouldn’t go that far, as we might run into legal issues, we should give people more incentives to get vaccinated. One solution might be to open up certain establishments from the lockdown, but only for vaccinated and recovered people.",,,,
4072,"Covid is basically over, the case numbers are very low. One has to be honest and ask: Do we even need such an expensive program? Vaccines are good to have, but we should focus on opening up and treating Covid as the non-problem it has become.",1,,,
4073,"We need a vaccine mandate, as soon as possible. A partial mandate is not enough - Germany is the Covid problem child of Germany. At the end of the day, we have to have a long term strategy, and that heavily involves vaccinations.",1,,,
4074,"I mean, in the end, the whole thing with the <span class='mytooltip'>Maut<span class='mytooltiptext'>Old German word for a road toll. The CSU sought to establish tolls for private vehicles in 2015, but the European courts disallowed this in 2019, citing discrimination against foreign vehicle owners.</span></span> just went horribly wrong, and was a real problem. That’s just a pity. It wasn’t a sole CSU or <span class='mytooltip'>Scheuer<span class='mytooltiptext'>Andreas “Andi” Scheuer, controversial CSU politician. As Minister of Transport (2018-2021), he has been the face of several scandals, especially since the failure of the Maut road toll-project (although it was developed by his predecessor Alexander Dobrindt). The botched project cost the state millions of Euros, making him the target of an inquiry committee.</span></span>-project though!",1,,,
4075,"Actually, the project only failed because the <span class='mytooltip'>EU<span class='mytooltiptext'>European Union; supranational political entity, serving as a political and economic union between 27 European countries, including free trade, open borders, political cooperation and a common legislative body. Germany is a prominent member, being one of its predecessors founding members, going back to the post-war era.</span></span> sabotaged it. We need accountability from the European community, and carefully reevaluate our relationship and contributions.",2,,,
4076,"Andi really screwed this up - we have to drop him. I’ll publicly criticize him for his incompetence and make it clear there will be no political post for him in my government. When being asked if he should resign, we’ll defer to the parliamentary investigation committee.",2,,,
4077,"It’s true that we didn’t manage to get the highway toll through during the last four years - but it’s clear that our highways are still too overcrowded. With me as chancellor, I promise that we will get a <span class='mytooltip'>Maut<span class='mytooltiptext'>Old German word for a road toll. The CSU sought to establish tolls for private vehicles in 2015, but the European courts disallowed this in 2019, citing discrimination against foreign vehicle owners.</span></span> done in the next four years!",-1,,,
4520,"Cannabis is a societal reality, like alcohol. We should start to take steps towards a regulated distribution to adults, accompanied by addiction prevention measures. The possession of small amounts shouldn’t be prosecuted anymore.",1,,,
4521,"We are against the legalization of illegal drugs. The risks for the individual and society are too great - instead, we should work towards addiction prevention, as well as early and suitable sanctions, that incentivise taking counseling and therapy. We do acknowledge the medical usage of Cannabis, however.",-1,,,
4522,"Legalize it! We are for permitting the controlled distribution of Cannabis, through regulated sales in licenced shops. We do need projects to prevent drug abuse and youth protection though, financed through consumption taxes, as well as a legal framework around marihuana usage.",3,,,
4523,"Not at all: we need to further pursue drug users and lower the amount of cannabis that is legally prosecuted. Our goal is a drug free society. Look at the Netherlands, they have decriminalized the possession of just 5 grams, with fatal consequences - that won’t happen to our children.",,,,
4078,"We will talk with all democratic parties - the SPD, the Greens and the FDP. However, I want to needle the leftist parties for not ruling out a coalition with the extremist Left. They are fringe populists, unfit to govern.",1,,,
4079,"We rule out coalitions with the extremes. Normally we would talk with everyone in the center, but it’s clear how a continuation of the Grand Coalition of the last 8 years would not have a public mandate. We need to find a different governing majority: I’d prefer Black-Green, or a Jamaica Coalition with the Greens and FDP.",-1,,,
4080,The last few years have shown how we can not ignore the 10-15% of the populace voting for the AfD. This country needs change and new solutions. I think a Bahamas coalition with the AfD and the FDP could work - our neighbor Austria showed us how the right wing can govern harmonically.,2,,,
4081,"Jamaica, Bahamas… All these coalition names make me want to take a holiday in the Caribbean.",,,,
4524,"While §218 is a settled compromise from our societal discussions, we are for striking the §219a ad ban: women who are deciding on an abortion need unrestricted access to information. We also need to train more doctors and prevent pressure from abortion opponents in front of clinics.",1,,,
4525,"We want to strike §218, 219 and 219a from the books completely. Pregnancy issues are not part of criminal law - abortion is a medical service that has to be managed as part of regular health care. The stigma has to be broken, and the supply of doctors offering abortion has to be increased.",2,,,
4526,"The current situation is fine as is. Unborn life does have a right to be protected. Furthermore, the ad ban has already been loosened two years ago, to provide better access to information for affected women and legal certainty for doctors and hospitals, if an abortion is necessary.",,,,
4527,"The right to life does not stand to disposition. The unborn child has a right to live, and we stand vehemently against efforts to trivialize or encourage abortions from the state. Instead, adoption procedures should be simplified - while doctors who do not report abortions have to incur noticeable sanctions.",-1,,,
4082,"Afghanistan is the biggest blowback for the West since Vietnam. Of course, our government does not shed a good light, and the <span class='mytooltip'>EU<span class='mytooltiptext'>European Union; supranational political entity, serving as a political and economic union between 27 European countries, including free trade, open borders, political cooperation and a common legislative body. Germany is a prominent member, being one of its predecessors founding members, going back to the post-war era.</span></span> is too speechless - we quickly need a unified European position now. The USA has the main responsibility here, that’s where the decision for this retreat was made. We need a <span class='mytooltip'>NATO<span class='mytooltiptext'>North Atlantic Treaty Organization; international defensive military alliance between the United States, Canada and multiple European countries, including Germany since 1955. Was the winning party of the Cold War between 1949-1993.</span></span>-Special Session.",,,,
4083,"It’s a disgrace how so many good people would now have to live under civil strife and a possible <span class='mytooltip'>Taliban<span class='mytooltiptext'>Islamistic terror organization, ruling over Afghanistan. Founded from mujahedeen, during the war against the soviet union. Responsible for the 9/11 attacks, and probably the single most well known terror group.</span></span> takeover. We at least have to take in those who cooperated with our troops - we owe it to them for their service. We should also further support the UN refugee agency financially.",2,,,
4084,"A big part of those responsible in our government should not keep their positions after the election. Specifically, Foreign Minister <span class='mytooltip'>Heiko Maas<span class='mytooltiptext'>SPD chair of the Saarland (2000-2018) and Minister of Justice 2013-2018, where he had the reputation of somewhat of a nerd. He then became Foreign Minister (2018-2021). In the wake of the botched Afghanistan-retreat, he offered his resignation, but was talked out of it by Olaf Scholz.</span></span> of the SPD is clearly to blame the most. Just saying “Sorry, we misjudged” does not suffice! He should have started the evacuations much earlier, and there should be direct repercussions for his position.",3,,,
